SampleID	P(alleged label)	P(second best)	P(alleged label)-P(second best)
L2S8.274367	0.984042553191489	0.0159574468085106	0.968085106382979
L2S81.274524	1	0	1
L2S82.273335	0.994444444444444	0.00555555555555556	0.988888888888889
L2S83.274705	1	0	1
L2S84.273312	0.988571428571429	0.0114285714285714	0.977142857142857
L2S86.274853	0.98989898989899	0.0101010101010101	0.97979797979798
L2S87.273805	0.994444444444444	0.00555555555555556	0.988888888888889
L2S88.273522	0.99375	0.00625	0.9875
L2S89.274561	0.994897959183674	0.00510204081632653	0.989795918367347
L2S9.274120	0.995049504950495	0.00495049504950495	0.99009900990099
L2S90.274515	0.989010989010989	0.010989010989011	0.978021978021978
L2S91.275128	1	0	1
L2S92.273461	1	0	1
L2S93.273568	0.983783783783784	0.0162162162162162	0.967567567567568
L2S94.274742	1	0	1
L2S95.273958	1	0	1
L1S1.275106	0.666666666666667	0.333333333333333	0.333333333333333
L1S10.274330	0.945273631840796	0.054726368159204	0.890547263681592
L1S100.274845	0.989130434782609	0.0108695652173913	0.978260869565217
L1S101.274587	0.971910112359551	0.0280898876404494	0.943820224719101
L1S102.273491	0.990049751243781	0.00995024875621891	0.980099502487562
L1S103.273727	0.975247524752475	0.0247524752475248	0.95049504950495
L1S104.274727	0.961325966850829	0.0386740331491713	0.922651933701657
L1S105.273315	0.988888888888889	0.0111111111111111	0.977777777777778
L1S106.275162	0.98974358974359	0.0102564102564103	0.97948717948718
L1S107.274626	0.965714285714286	0.0342857142857143	0.931428571428571
L1S108.274826	0.96	0.04	0.92
L1S109.273718	0.990147783251232	0.00985221674876847	0.980295566502463
L1S11.274949	0.963350785340314	0.0366492146596859	0.926701570680628
L1S110.274759	0.966480446927374	0.0335195530726257	0.932960893854749
L1S111.274126	0.990384615384615	0.00961538461538462	0.980769230769231
L1S112.274528	1	0	1
L1S113.274445	0.912087912087912	0.0879120879120879	0.824175824175824
L1S114.274060	0.978142076502732	0.0218579234972678	0.956284153005464
L1S115.274581	0.993939393939394	0.00606060606060606	0.987878787878788
L1S116.274735	0.988439306358382	0.0115606936416185	0.976878612716763
L1S117.275153	0.958579881656805	0.0414201183431953	0.917159763313609
L1S118.274243	0.974093264248705	0.0259067357512953	0.948186528497409
L1S119.273846	0.962765957446808	0.0372340425531915	0.925531914893617
L1S12.273922	0.97979797979798	0.0202020202020202	0.95959595959596
L1S120.274954	0.983783783783784	0.0162162162162162	0.967567567567568
L1S121.275017	0.931818181818182	0.0681818181818182	0.863636363636364
L1S122.273565	0.988505747126437	0.0114942528735632	0.977011494252874
L1S123.274118	0.982456140350877	0.0175438596491228	0.964912280701754
L1S124.274955	0.975124378109453	0.0248756218905473	0.950248756218905
L1S125.273208	0.95360824742268	0.0463917525773196	0.907216494845361
L1S126.274219	0.966292134831461	0.0337078651685393	0.932584269662921
L1S127.274374	0.989637305699482	0.0103626943005181	0.979274611398964
L1S128.274455	0.978142076502732	0.0218579234972678	0.956284153005464
L1S129.274829	0.958579881656805	0.0414201183431953	0.917159763313609
L1S13.273294	0.903225806451613	0.0967741935483871	0.806451612903226
L1S130.275078	0.994818652849741	0.00518134715025907	0.989637305699482
L1S131.274927	0.973958333333333	0.0260416666666667	0.947916666666667
L1S132.274000	0.969072164948454	0.0309278350515464	0.938144329896907
L1S133.274859	0.741573033707865	0.258426966292135	0.48314606741573
L1S134.274174	0.823863636363636	0.176136363636364	0.647727272727273
L1S135.274571	0.814606741573034	0.185393258426966	0.629213483146067
L1S136.273951	0.814207650273224	0.185792349726776	0.628415300546448
L1S137.274284	0.892045454545455	0.107954545454545	0.784090909090909
L1S138.273308	0.910112359550562	0.0898876404494382	0.820224719101124
L1S139.274985	0.948717948717949	0.0512820512820513	0.897435897435897
L1S14.273420	0.983333333333333	0.0166666666666667	0.966666666666667
L1S140.274872	0.968085106382979	0.0319148936170213	0.936170212765957
L1S141.275086	0.961538461538462	0.0384615384615385	0.923076923076923
L1S142.273722	0.956521739130435	0.0434782608695652	0.91304347826087
L1S143.273938	0.954802259887006	0.0451977401129944	0.909604519774011
L1S144.273302	0.972826086956522	0.0271739130434783	0.945652173913043
L1S145.275016	0.953125	0.046875	0.90625
L1S146.273215	0.99	0.01	0.98
L1S147.273683	0.979274611398964	0.0207253886010363	0.958549222797928
L1S148.273970	0.952380952380952	0.0476190476190476	0.904761904761905
L1S149.274022	0.995	0.005	0.99
L1S15.273775	0.965714285714286	0.0342857142857143	0.931428571428571
L1S150.274261	1	0	1
L1S151.274520	0.94475138121547	0.0552486187845304	0.889502762430939
L1S152.274042	0.967391304347826	0.0326086956521739	0.934782608695652
L1S153.275061	0.983333333333333	0.0166666666666667	0.966666666666667
L1S154.274659	0.974619289340102	0.0253807106598985	0.949238578680203
