SampleID	female	male
L1S119.273846	0.962765957446808	0.0372340425531915
L1S12.273922	0.97979797979798	0.0202020202020202
L1S120.274954	0.983783783783784	0.0162162162162162
L1S121.275017	0.931818181818182	0.0681818181818182
L1S122.273565	0.988505747126437	0.0114942528735632
L1S123.274118	0.982456140350877	0.0175438596491228
L1S124.274955	0.975124378109453	0.0248756218905473
L1S125.273208	0.95360824742268	0.0463917525773196
L1S126.274219	0.966292134831461	0.0337078651685393
L1S127.274374	0.989637305699482	0.0103626943005181
L1S128.274455	0.978142076502732	0.0218579234972678
L1S129.274829	0.958579881656805	0.0414201183431953
L1S13.273294	0.903225806451613	0.0967741935483871
L1S130.275078	0.994818652849741	0.00518134715025907
L1S131.274927	0.973958333333333	0.0260416666666667
L1S132.274000	0.969072164948454	0.0309278350515464
L1S133.274859	0.258426966292135	0.741573033707865
L1S134.274174	0.176136363636364	0.823863636363636
L1S135.274571	0.185393258426966	0.814606741573034
L1S136.273951	0.185792349726776	0.814207650273224
L1S137.274284	0.107954545454545	0.892045454545455
L1S138.273308	0.0898876404494382	0.910112359550562
L1S139.274985	0.0512820512820513	0.948717948717949
L1S14.273420	0.983333333333333	0.0166666666666667
L1S140.274872	0.0319148936170213	0.968085106382979
L1S141.275086	0.0384615384615385	0.961538461538462
L1S142.273722	0.0434782608695652	0.956521739130435
L1S143.273938	0.0451977401129944	0.954802259887006
L1S144.273302	0.0271739130434783	0.972826086956522
L1S145.275016	0.046875	0.953125
L1S146.273215	0.01	0.99
L1S147.273683	0.0207253886010363	0.979274611398964
L1S148.273970	0.0476190476190476	0.952380952380952
L1S149.274022	0.005	0.995
L1S15.273775	0.965714285714286	0.0342857142857143
L1S150.274261	0	1
L1S151.274520	0.0552486187845304	0.94475138121547
L1S152.274042	0.0326086956521739	0.967391304347826
L1S153.275061	0.0166666666666667	0.983333333333333
L1S154.274659	0.0253807106598985	0.974619289340102
L1S155.274457	0.0386740331491713	0.961325966850829
L1S156.274463	0.0260416666666667	0.973958333333333
L1S157.273481	0.0113636363636364	0.988636363636364
L1S158.274569	0.0108695652173913	0.989130434782609
L1S159.273766	0.0108108108108108	0.989189189189189
L1S16.274184	0.994444444444444	0.00555555555555556
L1S160.274321	0.0239520958083832	0.976047904191617
L1S161.273299	0.0357142857142857	0.964285714285714
L1S162.273721	0.0210526315789474	0.978947368421053
L1S163.274658	0	1
L1S164.274254	0.025974025974026	0.974025974025974
L1S165.274417	0.0357142857142857	0.964285714285714
L1S166.274223	0.0108108108108108	0.989189189189189
L1S167.275065	0.0157068062827225	0.984293193717278
L1S168.274809	0.0359281437125748	0.964071856287425
L1S169.274242	0.0227272727272727	0.977272727272727
L1S17.274647	0.972222222222222	0.0277777777777778
L1S170.274450	0.0225988700564972	0.977401129943503
L1S171.273375	0.00581395348837209	0.994186046511628
L1S172.273802	0.077319587628866	0.922680412371134
